@file,1,DJM-S7,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
PAD9_PadMode1+Shift,PAD9_PadMode1+Shift,Pad,,9D08,9E08,,,,9D08,9E08,,,Fast,
PAD9_PadMode2,PAD9_PadMode2,Pad,,9D10,9E10,,,,9D10,9E10,,,Fast,
PAD9_PadMode2+Shift,PAD9_PadMode2+Shift,Pad,,9D18,9E18,,,,9D18,9E18,,,Fast,
PAD9_PadMode3,PAD9_PadMode3,Pad,,9D20,9E20,,,,9D20,9E20,,,Fast,
PAD9_PadMode3+Shift,PAD9_PadMode3+Shift,Pad,,9D28,9E28,,,,9D28,9E28,,,Fast,
PAD9_PadMode4,PAD9_PadMode4,Pad,,9D30,9E30,,,,9D30,9E30,,,Fast,
PAD9_PadMode4+Shift,PAD9_PadMode4+Shift,Pad,,9D38,9E38,,,,9D38,9E38,,,Fast,
PAD9_PadMode5,PAD9_PadMode5,Pad,,9B00,9C00,,,,9B00,9C00,,,Fast,
PAD9_PadMode5+Shift,PAD9_PadMode5+Shift,Pad,,9B08,9C08,,,,9B08,9C08,,,Fast,
PAD9_PadMode6,PAD9_PadMode6,Pad,,9B10,9C10,,,,9B10,9C10,,,Fast,
PAD9_PadMode6+Shift,PAD9_PadMode6+Shift,Pad,,9B18,9C18,,,,9B18,9C18,,,Fast,
PAD9_PadMode7,PAD9_PadMode7,Pad,,9B20,9C20,,,,9B20,9C20,,,Fast,
PAD9_PadMode7+Shift,PAD9_PadMode7+Shift,Pad,,9B28,9C28,,,,9B28,9C28,,,Fast,
PAD9_PadMode8,PAD9_PadMode8,Pad,,9B30,9C30,,,,9B30,9C30,,,Fast,
PAD9_PadMode8+Shift,PAD9_PadMode8+Shift,Pad,,9B38,9C38,,,,9B38,9C38,,,Fast,
,,,,,,,,,,,,,,
PAD10_PadMode1,PAD10_PadMode1,Pad,,9D01,9E01,,,,9D01,9E01,,,Fast,
PAD10_PadMode1+Shift,PAD10_PadMode1+Shift,Pad,,9D09,9E09,,,,9D09,9E09,,,Fast,
PAD10_PadMode2,PAD10_PadMode2,Pad,,9D11,9E11,,,,9D11,9E11,,,Fast,
